Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
101,699;215;9370;0
101,799;207;9313;0
101,899;194;9257;0
101,999;158;9200;0
102,099;230;9142;0
102,199;194;9089;0
102,299;226;9029;0
102,399;161;8971;0
102,499;217;8919;0
102,599;196;8863;0
102,699;238;8804;0
102,799;201;8749;0
102,899;239;8694;0
102,999;240;8637;0
103,099;239;8585;0
103,199;159;8532;0
103,299;177;8473;0
103,399;226;8416;0
103,499;232;8360;0
103,599;220;8304;0
103,699;241;8250;0
103,799;167;8196;0
103,899;176;8140;0
103,999;177;8081;0
104,099;194;8026;0
104,199;175;7976;0
104,299;215;7920;0
104,399;220;7865;0
104,499;210;7809;0
104,599;155;7754;0
104,699;208;7699;0
104,799;246;7637;0
104,899;193;7583;0
104,999;237;7524;0
105,099;160;7472;0
105,199;222;7415;0
105,299;230;7357;0
105,399;234;7301;0
105,499;234;7243;0
105,599;182;7190;0
105,699;221;7132;0
105,799;207;7078;0
105,899;224;7018;0
105,999;238;6961;0
106,099;163;6906;0
106,199;167;6855;0
106,299;217;6794;0
106,3989;222;6738;0
106,4989;213;6683;0
106,5989;162;6624;0
106,6989;173;6570;0
106,7989;143;6514;0
106,8989;159;6460;0
106,9989;147;6402;0
107,0989;239;6341;0
107,1989;216;6288;0
107,2989;204;6227;0
107,3989;170;6173;0
107,4989;190;6116;0
107,5989;236;6059;0
107,6989;208;6005;0
107,7989;215;5950;0
107,8989;225;5895;0
107,9989;214;5836;0
108,0989;222;5780;0
108,1989;219;5725;0
108,2989;177;5668;0
108,3989;182;5614;0
108,4989;184;5560;0
108,5989;236;5500;0
108,6989;234;5442;0
108,7989;236;5388;0
108,8989;235;5333;0
108,9989;232;5276;0
109,0989;222;5219;0
109,1989;178;5166;0
109,2989;160;5109;0
109,3989;175;5055;0
109,4989;243;4999;0
109,5989;246;4941;0
109,6989;219;4888;0
109,7989;233;4829;0
109,8989;210;4771;0
109,9989;196;4717;0
110,0989;199;4662;0
110,1989;171;4606;0
110,2989;245;4550;0
110,3989;211;4494;0
110,4989;223;4435;0
110,5989;236;4380;0
110,6989;236;4324;0
110,7989;246;4269;0
110,8989;233;4213;0
110,9989;230;4158;0
111,0989;187;4102;0
111,1989;133;4045;0
111,2989;190;3992;0
111,3989;188;3933;0
111,4989;242;3877;0
111,5989;248;3823;0
111,6989;236;3769;0
111,7989;239;3711;0
111,8989;228;3658;0
111,9989;174;3602;0
112,0989;176;3547;0
112,1989;167;3489;0
112,2989;238;3431;0
112,3989;256;3375;0
112,4989;224;3322;0
112,5989;186;3265;0
112,6989;179;3208;0
112,7989;227;3158;0
112,8988;244;3101;0
112,9988;244;3044;0
113,0988;238;2989;0
113,1988;141;2928;0
113,2988;155;2876;0
113,3988;203;2819;0
113,4988;194;2760;0
113,5988;197;2706;0
113,6988;197;2650;0
113,7988;187;2595;0
113,8988;266;2534;0
113,9988;234;2484;0
114,0988;228;2425;0
114,1988;184;2388;0
114,2988;208;2317;0
114,3988;208;2264;0
114,4988;182;2208;0
114,5988;242;2153;0
114,6988;251;2093;0
114,7988;238;2039;0
114,8988;250;1982;0
114,9988;259;1929;0
115,0988;215;1872;0
115,1988;164;1819;0
115,2988;207;1767;0
115,3988;227;1710;0
115,4988;99;1651;0
115,5988;253;1595;0
115,6988;210;1537;0
115,7988;218;1487;0
115,8988;245;1428;0
115,9988;256;1371;0
116,0988;245;1314;0
116,1988;181;1261;0
